,TABLE,VALUE,CLUSTER,OBSERVED,EXPECTED,DIFF,INDCHI2,INFLUENCE,rank
0,SVCFLAG,No military service,0,44846368.61005016,47589011.263300106,-2742642.653249949,158063.56391410966,0.038239685093629974,5.0
1,SVCFLAG,Military service,0,7362859.532645667,4620216.879395713,2742642.653249954,1628081.3043585466,0.3938751907386273,1.0
2,SVCFLAG,No military service,1,56081877.12010664,56929727.46858928,-847850.348482646,12626.97443648868,0.003054793364010317,13.0
3,SVCFLAG,Military service,1,6374918.064483229,5527067.71600058,847850.3484826488,130059.96133195802,0.03146488565401635,6.0
4,SVCFLAG,No military service,2,40667378.746181674,39140745.07670081,1526633.6694808677,59544.353492135095,0.014405327010596259,9.0
5,SVCFLAG,Military service,2,2273376.590765019,3800010.2602458918,-1526633.6694808728,613316.8600028531,0.148377292073885,3.0
6,SVCFLAG,No military service,3,25847550.4891845,24251220.174711987,1596330.3144725114,105078.03131329127,0.025421107358190878,7.0
7,SVCFLAG,Military service,3,758118.618648193,2354448.933120706,-1596330.3144725133,1082321.4031345781,0.26184168318798423,2.0
8,SVCFLAG,No military service,4,14234181.12153131,14282244.0457958,-48062.924264490604,161.74241816951428,3.9129695572632435e-05,26.0
9,SVCFLAG,Military service,4,1434665.90811179,1386602.9838472996,48062.92426449037,1665.974122199446,0.0004030424484270194,20.0
10,SVCFLAG,No military service,5,11163313.594975024,10729814.535046663,433499.0599283613,17513.949970427493,0.004237079786323567,11.0
11,SVCFLAG,Military service,5,608213.489074285,1041712.5490026475,-433499.0599283625,180396.63162231562,0.04364263473736047,4.0
12,SVCFLAG,No military service,6,9360475.002854165,9613545.141276035,-253070.13842187077,6661.901933126411,0.0016116872588411778,15.0
13,SVCFLAG,Military service,6,1186408.7885318303,933338.6501099596,253070.13842187065,68618.7108541144,0.016600649951294396,8.0
14,SVCFLAG,No military service,7,7939167.955618919,7826382.729174498,112785.22644442134,1625.3367288953318,0.0003932112065867448,21.0
15,SVCFLAG,Military service,7,647045.3443123375,759830.5707567581,-112785.22644442064,16741.24178953496,0.004050141590227607,12.0
16,SVCFLAG,No military service,8,6346551.920018879,6228053.684345716,118498.23567316309,2254.6099583159994,0.0005454487592207828,19.0
17,SVCFLAG,Military service,8,486157.2928687275,604655.5285418913,-118498.23567316373,23222.861935148612,0.005618213998106986,10.0
18,SVCFLAG,No military service,9,5705213.6069126045,5665899.668797663,39313.93811494112,272.7873454267153,6.599435017366261e-05,25.0
19,SVCFLAG,Military service,9,510764.422242367,550078.3603573072,-39313.93811494025,2809.7555575562096,0.0006797529111099277,18.0
20,SVCFLAG,No military service,10,527388.6338299868,503989.44934785063,23399.18448213616,1086.375588095189,0.0002628224959215838,22.0
