c	stability	tuplecount	cumtuplecount
20	1.0	157484658	157484658
19	0.95	5494380	162979038
18	0.9	1362523	164341561
17	0.85	1894351	166235912
16	0.8	318043	166553955
15	0.75	72690	166626645
14	0.7	973276	167599921
13	0.65	757585	168357506
12	0.6	3574028	171931534
11	0.55	770973	172702507
10	0.5	248735	172951242
9	0.45	1733974	174685216
8	0.4	955184	175640400
7	0.35	8249443	183889843
6	0.3	2417374	186307217
5	0.25	11088648	197395865
4	0.2	1168374	198564239
3	0.15	7080743	205644982
2	0.1	3927371	209572353
1	0.05	17565922	227138275
